empno,ename,sal,job,doj,deptno,manager_id,bonus
1,Employee_1,45612,Engineer,2021-04-20,7,981,3699
2,Employee_2,27166,Analyst,2020-04-25,7,553,2153
3,Employee_3,28428,Manager,2022-09-22,4,506,4304
4,Employee_4,17749,Manager,2020-06-18,4,794,2864
5,Employee_5,36355,Engineer,2022-02-28,7,790,1971
6,Employee_6,10841,Engineer,2021-01-06,3,78,1163
7,Employee_7,48664,Assistant,2020-11-25,10,463,1141
8,Employee_8,44498,Manager,2020-10-08,3,540,1314
9,Employee_9,18686,Manager,2021-11-26,4,299,1630
10,Employee_10,21091,Engineer,2021-04-19,6,568,3297
11,Employee_11,41289,Engineer,2019-07-22,3,79,2589
12,Employee_12,16345,Assistant,2022-09-29,10,720,3839
13,Employee_13,19518,Assistant,2021-06-28,1,531,4003
14,Employee_14,10057,Engineer,2020-06-28,4,681,1682
15,Employee_15,15728,Analyst,2021-05-25,10,680,1523
16,Employee_16,12613,Manager,2020-07-11,2,742,4482
17,Employee_17,17824,Engineer,2019-07-25,9,33,1444
18,Employee_18,12274,Assistant,2022-12-05,8,530,2793
19,Employee_19,28351,Analyst,2021-09-19,1,306,1589
20,Employee_20,15469,Assistant,2021-02-12,2,380,4915
21,Employee_21,48544,Analyst,2020-08-30,5,392,1005
22,Employee_22,38852,Analyst,2019-10-03,6,629,1879
23,Employee_23,19276,Analyst,2020-05-04,1,59,3329
24,Employee_24,29535,Analyst,2022-11-19,6,189,3988
25,Employee_25,31481,Engineer,2023-06-13,9,61,4609
26,Employee_26,41257,Analyst,2022-05-25,8,799,2108
27,Employee_27,11840,Manager,2022-02-16,2,150,4270
28,Employee_28,45910,Engineer,2020-03-06,1,199,1841
29,Employee_29,14472,Assistant,2022-01-15,5,772,1200
30,Employee_30,18717,Manager,2021-10-24,8,910,4662
31,Employee_31,43129,Engineer,2022-04-30,8,777,2091
32,Employee_32,34026,Assistant,2023-03-23,8,493,2424
33,Employee_33,49184,Manager,2021-05-05,1,548,2542
34,Employee_34,24603,Engineer,2021-12-28,3,270,1958
35,Employee_35,18208,Engineer,2021-11-03,8,798,2210
36,Employee_36,26850,Assistant,2020-12-10,5,498,4315
37,Employee_37,25050,Manager,2021-08-03,9,601,2454
38,Employee_38,31007,Engineer,2020-04-28,6,200,3768
39,Employee_39,40777,Manager,2020-10-24,2,877,1101
40,Employee_40,32856,Engineer,2019-07-25,8,489,4032
41,Employee_41,18507,Manager,2023-01-07,4,803,3549
42,Employee_42,13684,Analyst,2020-05-03,9,512,2805
43,Employee_43,46101,Manager,2019-10-21,9,357,4707
44,Employee_44,16931,Analyst,2022-07-27,8,669,3397
45,Employee_45,41665,Assistant,2022-10-18,10,709,4187
46,Employee_46,34680,Assistant,2019-08-10,2,260,4845
47,Employee_47,42617,Engineer,2020-07-09,1,807,2288
48,Employee_48,14435,Manager,2022-07-22,2,272,1921
49,Employee_49,25967,Assistant,2023-06-19,7,463,3225
